epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,189.718,3.64109,20.1711,2.29318,0.39996,0.60668,0.38479,0.17134,1.92462,1.85785,1.17553,0.00333,0.00333,0.00333
2,422.106,1.94848,2.16501,1.1785,0.21214,0.81676,0.40352,0.19922,1.81588,2.68513,1.12177,0.00659737,0.00659737,0.00659737
3,638.802,1.80244,1.62624,1.10598,0.23681,0.15508,0.12185,0.0556,2.53432,262.11,1.87754,0.00979873,0.00979873,0.00979873
4,806.531,1.66653,1.2375,1.05626,0.74082,0.60635,0.70094,0.41317,1.56844,1.50853,1.03367,0.009703,0.009703,0.009703
5,975.142,1.55206,1.01555,1.00629,0.88378,0.85093,0.9208,0.55052,1.4014,0.91229,0.95395,0.009604,0.009604,0.009604
6,1143.81,1.48478,0.92735,0.99195,0.87015,0.83206,0.91047,0.55247,1.36993,0.90186,0.94959,0.009505,0.009505,0.009505
7,1312.18,1.43759,0.87968,0.98035,0.7287,0.41586,0.64112,0.37236,1.5263,2.17883,0.99125,0.009406,0.009406,0.009406
8,1480.53,1.42102,0.84421,0.96873,0.89389,0.86092,0.93378,0.57949,1.32472,0.85252,0.92069,0.009307,0.009307,0.009307
9,1648.9,1.37853,0.80846,0.95678,0.87703,0.82768,0.90056,0.55608,1.31782,0.90241,0.92645,0.009208,0.009208,0.009208
10,1818.2,1.37575,0.79178,0.95396,0.72666,0.62101,0.65024,0.40801,1.34335,2.13259,0.94109,0.009109,0.009109,0.009109
11,1987.61,1.34613,0.76822,0.9469,0.91169,0.80633,0.89424,0.58816,1.19937,3.09921,0.90451,0.00901,0.00901,0.00901
12,2157.38,1.32419,0.74496,0.94123,0.54826,0.72228,0.59357,0.3852,1.32568,8.0536,0.93294,0.008911,0.008911,0.008911
13,2340.96,1.31322,0.72618,0.94276,0.94101,0.94122,0.98172,0.67221,1.12854,0.61931,0.87509,0.008812,0.008812,0.008812
14,2515.37,1.31145,0.72105,0.9352,0.56299,0.55464,0.47419,0.32229,1.18281,18.0396,0.88708,0.008713,0.008713,0.008713
15,2685.97,1.29555,0.71285,0.9325,0.92974,0.81803,0.90855,0.59592,1.19759,9.53648,0.89443,0.008614,0.008614,0.008614
16,2854.91,1.28478,0.69743,0.92944,0.76992,0.79489,0.83653,0.5716,1.12052,2.57108,0.87421,0.008515,0.008515,0.008515
17,3022.81,1.26765,0.6903,0.92134,0.94312,0.93732,0.98234,0.6798,1.08586,0.60465,0.86254,0.008416,0.008416,0.008416
18,3190.46,1.28019,0.69303,0.92613,0.94609,0.92848,0.98074,0.66948,1.11107,0.6144,0.86843,0.008317,0.008317,0.008317
19,3358.57,1.26706,0.686,0.92385,0.93729,0.94367,0.98385,0.68388,1.10372,0.60274,0.87209,0.008218,0.008218,0.008218
20,3526.53,1.25588,0.66767,0.92405,0.94854,0.94307,0.9866,0.69626,1.07801,0.59111,0.85918,0.008119,0.008119,0.008119
21,3694.11,1.23713,0.66494,0.91937,0.94712,0.94226,0.97988,0.68677,1.06885,0.5955,0.8632,0.00802,0.00802,0.00802
22,3862.14,1.24807,0.66558,0.92005,0.94791,0.94054,0.98459,0.69603,1.07207,0.57747,0.86388,0.007921,0.007921,0.007921
23,4030.16,1.23711,0.65533,0.91692,0.93338,0.92435,0.97514,0.66577,1.10195,0.60588,0.87116,0.007822,0.007822,0.007822
24,4198.2,1.22846,0.65302,0.91143,0.94095,0.93295,0.97594,0.68133,1.07104,0.59253,0.86376,0.007723,0.007723,0.007723
25,4365.87,1.23385,0.65392,0.91239,0.95485,0.94536,0.98489,0.69949,1.08053,0.57589,0.86407,0.007624,0.007624,0.007624
26,4533.97,1.2196,0.64434,0.90791,0.83103,0.83976,0.86694,0.6046,1.08466,1.39761,0.86092,0.007525,0.007525,0.007525
27,4702.14,1.21228,0.64183,0.90941,0.96419,0.92607,0.9771,0.6633,1.10099,0.71544,0.86034,0.007426,0.007426,0.007426
28,4869.95,1.21603,0.63711,0.91042,0.95676,0.90821,0.96201,0.65927,1.08694,0.69416,0.86538,0.007327,0.007327,0.007327
29,5037.87,1.19836,0.63176,0.90681,0.95072,0.9475,0.98887,0.71437,1.03234,0.54951,0.84923,0.007228,0.007228,0.007228
30,5205.79,1.202,0.62429,0.90499,0.94915,0.95569,0.98715,0.69337,1.06363,0.56681,0.85407,0.007129,0.007129,0.007129
31,5373.45,1.20072,0.6314,0.90665,0.94637,0.95481,0.98526,0.69907,1.07368,0.57185,0.86464,0.00703,0.00703,0.00703
